company,company_url,company_url_raw_data,google_review_url,google_review_url_raw_data,google_review_rating,google_reviews_number,yelp_review_url,yelp_review_url_raw_data,yelp_review_rating,yelp_reviews_number,thumbtack_review_url,thumbtack_review_url_raw_data,thumbtack_review_rating,thumbtack_reviews_number
Handyman Pro Marin,,,,,,,,,,,,,,
AVAVIO Plumbing,https://avavioconstruction.com/,,,,,,,,,,,,,
Smart People Moving,https://www.smartpeoplemoving.com,,"https://www.google.com/search?q=Smart+People+Moving+reviews&hl=en#lrd=0x808587e140c9a201:0xe01c483d6d36dd17,1,,,,","Complementary results
See photos
See outside
Smart People Moving
Website
Directions
Save
4.9
317 Google reviews
Mover in San Francisco, California
BOOK ONLINE
Service options: Online estimates · On-site services
Address: 1300 Lawton St #201, San Francisco, CA 94122, United States
Hours:
Closed ⋅ Opens 8 AM

Phone: +1 415-839-9391
Suggest an edit

Questions & answers
Ask a question
See all questions (1)
Reviews from the web
Thumbtack
4.8/5
495 reviews
Trustindex
4.9/5
556 votes
Facebook
5/5
8 votes
Reviews
Write a review
Add a photo
""Excellent service; the group was fast, friendly, and careful with our stuff.""
""Got everything packed and moved into my new apartment in a little over an hour.""
""Very professional movers, and the price was great.""
View all Google reviews
From Smart People Moving
""Our priorities: -speed -safety -no damage -courtesy and respectful""
Smart People Moving
on Google
Stress-Free Moving from San Francisco to Phoenix – Tips and Tricks 👍✨ Relocating…
3 days ago
Learn more
Planning a Move from San Francisco to Portland? Here's What You Need to Know ✅…
Aug 30, 2024
Learn more
From Golden Gate to Space City: Your Ultimate Guide to Moving from San Francisco t…
Aug 27, 2024
Learn more
Smooth Moves – What to Expect When Moving from San Francisco to Austin ✅…
Aug 22, 2024
Learn more
Your Ultimate Moving Checklist: Relocating from San Francisco to Seattle Made Ea…
Aug 20, 2024
Learn more
How Much Does It Cost to Move from California to Miami? Moving from California to…
Aug 5, 2024
Learn more
Your Ultimate Guide to Moving from San Francisco to Miami Moving from San Francisco t…
Aug 2, 2024
Learn more
Easy Moving from San Francisco to San Diego - Your Trusted Guide Relocating fro…
Jul 25, 2024
Call now
Top Moving Company in San Francisco - Reliable, Affordable Moves with Ease Moving ca…
Jul 23, 2024
Learn more
Effortless Relocations with Leading Moving Companies in San Francisco The team at…
Jul 12, 2024
Call now
View all
Profiles
X (Twitter)
Instagram
People also search for
View 15+ more
Jay's Small Moves
Mover
SF Local Moving
Moving and storage service
A2B Movers San Fran...
Moving and storage service
Magenta Moving
Mover
About this data",4.9,317,,,,,,,,
Tech Air Inc,https://www.techairservice.com/,,,,,,,,,,,,,
AJ’s Landscaping,https://www.ajslandscaping.org/,,,,,,,,,,,,,
"ABC Home Repairs, Inc.",https://abchomerepairs.com/,,,,,,,,,,,,,
Pavers Express Group,https://www.paverexpress.com,,"https://www.google.com/search?q=Pavers+Express+Group+reviews&hl=en#lrd=0x808f9010080ce4ff:0xb1d29ae2fb5e97d9,1,,,,","Complementary results
See photos
See outside
Pavers Express Group
Website
Directions
Save
5.0
13 Google reviews
Paving contractor in Corte Madera, California
Service options: On-site services
Address: 6 Baja Ct, Corte Madera, CA 94925, United States
Hours:
Closed ⋅ Opens 8 AM

Phone: +1 888-630-8082
Suggest an edit

· Own this business?
Appointments: paverexpress.com
 Providers 

Questions & answers
Ask a question
Be the first to ask a question
Reviews from the web
HomeAdvisor
4.7/5
16 reviews
Houzz
5/5
6 reviews
angi.com
5/5
13 reviews
Reviews
Write a review
Add a photo
""Mike’s team paved our driveway, walkway and a portion of the backyard.""
""They did my home's pavers on time, reasonable cost and great service overall.""
""Very kind people too.""
View all Google reviews
From Pavers Express Group
""We can design, supply, and lay paving for your driveway, courtyard, pathway, pool area, or commercial premises. We specialize in the supply and lay of all types of paving. If you require professional hardscape services, contact us today! We...  More
Updates from Pavers Express Group
View previous updates on Google
Profiles
Facebook
People also search for
View 15+ more
GR PAVER
Paving contractor
Martin Pavers
Contractor
The Paver Company
Paving contractor
Castle Interlocking Pavers
Contractor
About this data",5.0,13,,,,,,,,
Marin Wood Restoration & Painting Co.,https://Marin-wood.com,,,"Complementary results
See outside
Marin Wood Restoration & Paint
Website
Directions
Save
Painter in Corte Madera, California
Address: 246 Balclutha Dr, Corte Madera, CA 94925, United States
Hours:
Closed ⋅ Opens 9 AM Mon

Phone: +1 415-717-3721
Suggest an edit

· Own this business?
Questions & answers
Ask a question
Be the first to ask a question
Reviews
Write a review
Add a photo
Be the first to review
People also search for
View 15+ more
Furniture Restoration of Marin
Furniture repair shop
Marin Painting Specialists
Painter
NorCal Wood Restorati...
Painting
North Bay Painting & Wood
Painter
About this data",,,,,,,,,,
AVAVIO Construction,https://avavioconstruction.com/,,,,,,,,,,,,,
Duct Pros,https://www.ductpros.us/,,,,,,,,,,,,,
J&R Landscaping and Construction,https://www.jrlandscapingnow.com/,,,,,,,,,,,,,
FixWell Appliance Repair,https://fixwellco.com/,,,,,,,,,,,,,
Anderholm Electric,https://anderholmelectric.com/,,"https://www.google.com/search?q=Anderholm+Electric+reviews&hl=en#lrd=0x80844a8a9e515555:0xa52bfe3f672a3171,1,,,,","Complementary results
See photos
See outside
Anderholm Electric
Website
Directions
Save
5.0
36 Google reviews
Electrician in Rohnert Park, California
Address: 75 Executive Ave Ste 16, Rohnert Park, CA 94928, United States
Hours:
Closed ⋅ Opens 7 AM

Phone: +1 707-833-7484
Suggest an edit

· Own this business?
Products
View all
Electric Service Upgrade
Electrical Services
Solar Panel Installation
Electrical Services
Electric Panel Installation
Electrical Services
Electrical wiring installation
Electrical Services
EV Charger Installation
Electrical Services
Smart Home Wiring
Electrical Services
Generator Installation
Electrical Services
Electric Panel Repair
Electrical Services
Questions & answers
Ask a question
Be the first to ask a question
Reviews from the web
5/5Facebook · 1 vote
Reviews
Write a review
Add a photo
""Anderholm electric was very responsive to request for ASAP service.""
""His pricing is fair and the work is top notch.""
""Jason is highly professional, personable, and punctual.""
View all Google reviews
From Anderholm Electric
""At Anderholm Electric, we've been powering North Bay homes over the course of several years with a commitment to excellence and customer satisfaction. Our solution-oriented approach means we prioritize your needs without selling you services you...  More
Profiles
Facebook
Instagram
People also search for
View 15+ more
Reyff Electric
Electrical installation service
B.A. Electric Inc.
Electrician
Norcal Electric
Electrician
Roddan Electrical Services
Electrical installation service
About this data",5.0,36,,,,,,,,
The Neighborhood Plumber,https://www.alextheneighborhoodplumber.com/,,"https://www.google.com/search?q=The+Neighborhood+Plumber+reviews&hl=en#lrd=0x88f5c3520bfbbf0f:0x4af17e7906109c9c,1,,,,","Complementary results
See photos
See outside
The Neighborhood Plumber, LLC
Website
Directions
Save
4.9
1,952 Google reviews
Plumber in Georgia
Service options: No online estimates · On-site services not available
Address: 426 Cedar Creek Rd b, Winder, GA 30680, United States
Hours:
Open 24 hours

Phone: +1 678-863-4289
Suggest an edit

Questions & answers
Ask a question
Be the first to ask a question
Reviews from the web
Facebook
4.9/5
205 votes
Thumbtack
4.8/5
475 reviews
Reviews
Write a review
Add a photo
""They did an excellent job and gave me a discount on service.""
""They will charge that price because of their work quality.""
""Very nice group of people and highly recommend their services.""
View all Google reviews
From The Neighborhood Plumber, LLC
""The Neighborhood Plumber is a full service plumber for residential plumbing and commercial plumbing customers. We're family owned, licensed and fully insured. Based in Winder, GA, we are one of the fastest growing plumbing companies in Barrow County...  More
Updates from The Neighborhood Plumber, LLC
View previous updates on Google
Profiles
Facebook
People also search for
View 15+ more
Garner Plumbing Services
Plumber
Drs Plumbing service
Plumber
Roberts Plumbing, Inc.
Plumber
Showtime Express Plumbing
Plumber
About this data",4.9,1952,,,,,,,,
Guil Home Services,https://guilhomeservices.com,,,,,,,,,,,,,
